"","studentDist","studentTime","leader","ClustAlg","Catchment"
"5652",518,10.97,FALSE,"kNN",48
"5653",476,9.97,FALSE,"kNN",48
"5654",1083,24.05,TRUE,"kNN",48
"5655",965,21.18,FALSE,"kNN",48
"5656",666,14.82,FALSE,"kNN",48
"5657",502,10.93,FALSE,"kNN",48
"5658",161,3.22,FALSE,"kNN",48
"5659",910,19.7,TRUE,"kNN",48
"5660",730,15.37,FALSE,"kNN",48
"5661",659,13.8,FALSE,"kNN",48
"5662",156,3.43,FALSE,"kNN",48
"5663",1169,24.82,TRUE,"kNN",48
"5664",986,20.48,FALSE,"kNN",48
"5665",546,11.33,FALSE,"kNN",48
"5666",597,11.95,TRUE,"kNN",48
"5667",547,10.95,FALSE,"kNN",48
"5668",459,9.18,FALSE,"kNN",48
"5669",426,8.28,FALSE,"kNN",48
"5670",224,4.65,FALSE,"kNN",48
"5671",936,19.5,TRUE,"kMeans",48
"5672",932,19.42,FALSE,"kMeans",48
"5673",777,15.97,FALSE,"kMeans",48
"5674",546,11.33,FALSE,"kMeans",48
"5675",857,18.02,TRUE,"kMeans",48
"5676",287,5.92,FALSE,"kMeans",48
"5677",1002,21.17,TRUE,"kMeans",48
"5678",401,8.77,FALSE,"kMeans",48
"5679",224,4.65,FALSE,"kMeans",48
"5680",1643,35.23,TRUE,"kMeans",48
"5681",696,13.98,FALSE,"kMeans",48
"5682",627,13.07,TRUE,"kMeans",48
"5683",615,12.82,FALSE,"kMeans",48
"5684",545,11.45,FALSE,"kMeans",48
"5685",503,10.45,FALSE,"kMeans",48
"5686",472,9.77,FALSE,"kMeans",48
"5687",443,9.25,FALSE,"kMeans",48
"5688",1008,22.25,TRUE,"kMeans",48
"5689",890,19.38,FALSE,"kMeans",48
"5690",733,15.53,FALSE,"kMeans",48
"5691",662,13.97,FALSE,"kMeans",48
"5692",340,7.32,FALSE,"kMeans",48
"5693",828,17.03,TRUE,"kMeans",48
"5694",459,9.18,FALSE,"kMeans",48
"5695",426,8.28,FALSE,"kMeans",48
"5696",1502,32.27,TRUE,"kMeans",48
"5697",577,12.88,FALSE,"kMeans",48
"5698",509,11.47,FALSE,"kMeans",48
"5699",534,11.23,TRUE,"kMeans",48
"5700",161,3.22,FALSE,"kMeans",48
"5701",936,19.5,TRUE,"Hier",48
"5702",932,19.42,FALSE,"Hier",48
"5703",777,15.97,FALSE,"Hier",48
"5704",546,11.33,FALSE,"Hier",48
"5705",1105,23.3,TRUE,"Hier",48
"5706",695,13.98,FALSE,"Hier",48
"5707",1039,21.93,TRUE,"Hier",48
"5708",489,9.8,FALSE,"Hier",48
"5709",445,8.9,FALSE,"Hier",48
"5710",343,7.13,FALSE,"Hier",48
"5711",899,19.45,TRUE,"Hier",48
"5712",352,7.55,FALSE,"Hier",48
"5713",156,3.43,FALSE,"Hier",48
"5714",627,13.07,TRUE,"Hier",48
"5715",615,12.82,FALSE,"Hier",48
"5716",545,11.45,FALSE,"Hier",48
"5717",503,10.45,FALSE,"Hier",48
"5718",472,9.77,FALSE,"Hier",48
"5719",443,9.25,FALSE,"Hier",48
"5720",742,16.38,TRUE,"Hier",48
"5721",577,12.88,FALSE,"Hier",48
"5722",509,11.47,FALSE,"Hier",48
"5723",1007,22.1,TRUE,"Hier",48
"5724",570,12.35,FALSE,"Hier",48
"5725",340,7.32,FALSE,"Hier",48
"5726",1336,28.67,TRUE,"Hier",48
"5727",685,14.6,FALSE,"Hier",48
"5728",614,13.03,FALSE,"Hier",48
"5729",534,11.23,TRUE,"Hier",48
"5730",161,3.22,FALSE,"Hier",48
"5731",736,15.17,TRUE,"Fuzzy",48
"5732",546,11.33,FALSE,"Fuzzy",48
"5733",914,19.25,TRUE,"Fuzzy",48
"5734",777,15.98,FALSE,"Fuzzy",48
"5735",741,15.25,TRUE,"Fuzzy",48
"5736",741,15.25,FALSE,"Fuzzy",48
"5737",979,21.53,TRUE,"Fuzzy",48
"5738",663,14.9,FALSE,"Fuzzy",48
"5739",605,13.48,FALSE,"Fuzzy",48
"5740",161,3.22,FALSE,"Fuzzy",48
"5741",627,13.07,TRUE,"Fuzzy",48
"5742",615,12.82,FALSE,"Fuzzy",48
"5743",545,11.45,FALSE,"Fuzzy",48
"5744",503,10.45,FALSE,"Fuzzy",48
"5745",472,9.77,FALSE,"Fuzzy",48
"5746",443,9.25,FALSE,"Fuzzy",48
"5747",688,15.22,TRUE,"Fuzzy",48
"5748",570,12.35,FALSE,"Fuzzy",48
"5749",340,7.32,FALSE,"Fuzzy",48
"5750",865,18.93,TRUE,"Fuzzy",48
"5751",685,14.6,FALSE,"Fuzzy",48
"5752",614,13.03,FALSE,"Fuzzy",48
"5753",879,18.32,TRUE,"Fuzzy",48
"5754",696,13.98,FALSE,"Fuzzy",48
"5755",725,14.85,TRUE,"Fuzzy",48
"5756",675,13.85,FALSE,"Fuzzy",48
"5757",587,12.08,FALSE,"Fuzzy",48
"5758",554,11.18,FALSE,"Fuzzy",48
"5759",352,7.55,FALSE,"Fuzzy",48
